ticker,sector,universe_source
CPIN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
INCO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
KLBF,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
AMRT,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ERAA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PGAS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
CDIA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
INDF,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ITMG,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
NCKL,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TAPG,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
HRTA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ICBP,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
INKP,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SMGR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PANI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BRIS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
FUTR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
JPFA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BACH,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TOWR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PTBA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
EMTK,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
GGRM,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
COCO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PIPA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
UNVR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TKIM,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
FILM,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
CMNT,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
COIN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BFIN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MYOR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PADI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
RANS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MGLV,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BBTN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MTEL,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ARKO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
AKRA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ARTO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
HATM,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PGEO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
EXCL,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
IMPC,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
KPIG,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
GIAA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SINI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
